path,size_kb,category,reason
plate_consensus_apply.py,10.1,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
plate_consensus_report.py,23.8,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
plate_consensus_report_v3.py,22.0,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
plate_consensus_report_v3.py,22.0,REVIEW:versioned_duplicate,"есть версия с суффиксом (_v3), и рядом существует файл без суффикса: plate_consensus_report.py"
plate_consensus_top6.py,2.7,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
report_bot_admins.py,4.2,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
report_plate_candidates.py,6.2,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
report_verification_evidence.py,5.4,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
report_verification_tasks.py,3.7,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
report_verification_tasks_enriched.py,7.0,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
RETIRE_legacy_new_remote_test_orders_sandbox.py,4.3,REVIEW:sandbox_name,в пути встречается 'sandbox'
run_bot_guard_sandbox.py,7.4,HIGH:confirmed_archive,"подтверждено пользователем к архивации, см. EXPLICIT_ARCHIVE_PATHS"
run_bot_guard_sandbox.py,7.4,REVIEW:sandbox_name,в пути встречается 'sandbox'
run_bot_guard_sandbox_v2.py,7.4,HIGH:confirmed_archive,"подтверждено пользователем к архивации, см. EXPLICIT_ARCHIVE_PATHS"
run_bot_guard_sandbox_v2.py,7.4,REVIEW:sandbox_name,в пути встречается 'sandbox'
run_bot_guard_sandbox_v2.py,7.4,REVIEW:versioned_duplicate,"есть версия с суффиксом (_v2), и рядом существует файл без суффикса: run_bot_guard_sandbox.py"
run_bot_guard_sandbox_v3.py,7.4,HIGH:confirmed_archive,"подтверждено пользователем к архивации, см. EXPLICIT_ARCHIVE_PATHS"
run_bot_guard_sandbox_v3.py,7.4,REVIEW:sandbox_name,в пути встречается 'sandbox'
run_bot_guard_sandbox_v3.py,7.4,REVIEW:versioned_duplicate,"есть версия с суффиксом (_v3), и рядом существует файл без суффикса: run_bot_guard_sandbox.py"
run_bot_live_services_sandbox_v1.py,33.1,HIGH:confirmed_archive,"подтверждено пользователем к архивации, см. EXPLICIT_ARCHIVE_PATHS"
run_bot_live_services_sandbox_v1.py,33.1,REVIEW:sandbox_name,в пути встречается 'sandbox'
run_bot_live_service_sandbox_v4.py,8.1,HIGH:confirmed_archive,"подтверждено пользователем к архивации, см. EXPLICIT_ARCHIVE_PATHS"
run_bot_live_service_sandbox_v4.py,8.1,REVIEW:sandbox_name,в пути встречается 'sandbox'
run_bot_sandbox_v2.py,9.3,HIGH:confirmed_archive,"подтверждено пользователем к архивации, см. EXPLICIT_ARCHIVE_PATHS"
run_bot_sandbox_v2.py,9.3,REVIEW:sandbox_name,в пути встречается 'sandbox'
Start_OSBB_Guard_Sandbox_Bot_v2.bat,1.2,HIGH:confirmed_archive,"подтверждено пользователем к архивации, см. EXPLICIT_ARCHIVE_PATHS"
Start_OSBB_Guard_Sandbox_Bot_v2.bat,1.2,REVIEW:sandbox_name,в пути встречается 'sandbox'
Start_OSBB_Live_Services_Sandbox_Bot_v1.bat,1.0,HIGH:confirmed_archive,"подтверждено пользователем к архивации, см. EXPLICIT_ARCHIVE_PATHS"
Start_OSBB_Live_Services_Sandbox_Bot_v1.bat,1.0,REVIEW:sandbox_name,в пути встречается 'sandbox'
Start_OSBB_Live_Service_Sandbox_Bot.bat,1.1,HIGH:confirmed_archive,"подтверждено пользователем к архивации, см. EXPLICIT_ARCHIVE_PATHS"
Start_OSBB_Live_Service_Sandbox_Bot.bat,1.1,REVIEW:sandbox_name,в пути встречается 'sandbox'
STOP_old_guard_sandbox_bots.bat,0.7,HIGH:confirmed_archive,"подтверждено пользователем к архивации, см. EXPLICIT_ARCHIVE_PATHS"
STOP_old_guard_sandbox_bots.bat,0.7,REVIEW:sandbox_name,в пути встречается 'sandbox'
Word_table_to_Excel.py,2.6,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
billing\import_ohorona_parking_time.py,13.3,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
billing\import_ohorona_parking_time_simple_preview.py,14.2,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
billing\import_parking_time_hints_from_ohorona.py,9.8,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
billing\report_missing_parking_time.py,0.0,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
billing\report_parking_time_review_tasks.py,6.2,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
billing\report_parking_time_with_hints.py,13.7,REVIEW:data_pipeline_history,"часть пайплайна оцифровки/переноса данных (бумага → Word → Excel → БД) — исторически ценно, но не часть работающего приложения"
Bots\sandbox_bot.py,15.9,HIGH:confirmed_archive,"подтверждено пользователем к архивации, см. EXPLICIT_ARCHIVE_PATHS"
Bots\sandbox_bot.py,15.9,REVIEW:sandbox_name,в пути встречается 'sandbox'
Bots\Start_OSBB_Guard_Sandbox_Bot.bat,1.4,HIGH:confirmed_archive,"подтверждено пользователем к архивации, см. EXPLICIT_ARCHIVE_PATHS"
Bots\Start_OSBB_Guard_Sandbox_Bot.bat,1.4,REVIEW:sandbox_name,в пути встречается 'sandbox'
Bots\Start_OSBB_Guard_Sandbox_Bot_v2.bat,1.2,HIGH:confirmed_archive,"подтверждено пользователем к архивации, см. EXPLICIT_ARCHIVE_PATHS"
Bots\Start_OSBB_Guard_Sandbox_Bot_v2.bat,1.2,REVIEW:sandbox_name,в пути встречается 'sandbox'
Bots\Start_OSBB_Guard_Sandbox_Bot_v2.bat,1.2,REVIEW:versioned_duplicate,"есть версия с суффиксом (_v2), и рядом существует файл без суффикса: Start_OSBB_Guard_Sandbox_Bot.bat"
Bots\Start_Sandbox_Bot.bat,1.1,HIGH:confirmed_archive,"подтверждено пользователем к архивации, см. EXPLICIT_ARCHIVE_PATHS"
Bots\Start_Sandbox_Bot.bat,1.1,REVIEW:sandbox_name,в пути встречается 'sandbox'
cashier_route_repair_payload\run_bot_live_services_sandbox_v1.py,24.5,HIGH:release_payload_dir,лежит в распакованной _payload папке — дубль уже заархивированного zip-бандла
cashier_route_repair_payload\run_bot_live_services_sandbox_v1.py,24.5,REVIEW:sandbox_name,в пути встречается 'sandbox'
Data\24А ПОЛНЫЙ СПИСОК Сервис Житлобуд1 - Copy.xlsx,24.1,REVIEW:config_referenced,"путь явно упомянут в config.py (paths.*) — похоже на мусор по имени, но это активный файл проекта; исходное правило: HIGH:manual_copy (похоже на ручную копию (' - Copy' / '_copy'))"
Data\check_passport_columns.py,1.6,REVIEW:check_script,разовый диагностический скрипт CHECK_*
Docs\Project_Log.md,2.6,REVIEW:duplicate_doc_name,"файл с именем 'Project_Log.md' встречается в нескольких папках проекта — возможен конфликт содержимого, а не просто дубль (проверьте вручную)"
Docs\ROADMAP.md,4.3,REVIEW:duplicate_doc_name,"файл с именем 'ROADMAP.md' встречается в нескольких папках проекта — возможен конфликт содержимого, а не просто дубль (проверьте вручную)"
KNOWLEDGE\Development_Conventions.md,1.2,REVIEW:duplicate_doc_name,"файл с именем 'Development_Conventions.md' встречается в нескольких папках проекта — возможен конфликт содержимого, а не просто дубль (проверьте вручную)"
parking_time_test_payload\profile_parking_time_test_core.py,24.5,HIGH:release_payload_dir,лежит в распакованной _payload папке — дубль уже заархивированного zip-бандла
parking_time_test_payload\run_bot_live_services_sandbox_v1.py,33.1,HIGH:release_payload_dir,лежит в распакованной _payload папке — дубль уже заархивированного zip-бандла
parking_time_test_payload\run_bot_live_services_sandbox_v1.py,33.1,REVIEW:sandbox_name,в пути встречается 'sandbox'
phone_barrier_access_v2_payload\phone_barrier_access_core.py,71.6,HIGH:release_payload_dir,лежит в распакованной _payload папке — дубль уже заархивированного zip-бандла
phone_barrier_access_v2_payload\phone_barrier_access_service.py,6.4,HIGH:release_payload_dir,лежит в распакованной _payload папке — дубль уже заархивированного zip-бандла
phone_barrier_access_v2_payload\service_orders_core.py,41.5,HIGH:release_payload_dir,лежит в распакованной _payload папке — дубль уже заархивированного zip-бандла
phone_barrier_access_v2_payload\service_preorders_core.py,43.0,HIGH:release_payload_dir,лежит в распакованной _payload папке — дубль уже заархивированного zip-бандла
profile_button_early_route_payload\run_bot_live_services_sandbox_v1.py,30.9,HIGH:release_payload_dir,лежит в распакованной _payload папке — дубль уже заархивированного zip-бандла
profile_button_early_route_payload\run_bot_live_services_sandbox_v1.py,30.9,REVIEW:sandbox_name,в пути встречается 'sandbox'
profile_verification_payload\profile_verification_core.py,47.2,HIGH:release_payload_dir,лежит в распакованной _payload папке — дубль уже заархивированного zip-бандла
profile_verification_payload\run_bot_live_services_sandbox_v1.py,29.6,HIGH:release_payload_dir,лежит в распакованной _payload папке — дубль уже заархивированного zip-бандла
profile_verification_payload\run_bot_live_services_sandbox_v1.py,29.6,REVIEW:sandbox_name,в пути встречается 'sandbox'
profile_verification_terminology_v2_payload\profile_verification_core.py,48.4,HIGH:release_payload_dir,лежит в распакованной _payload папке — дубль уже заархивированного zip-бандла
Recovered\REMOTE_BUTTON_ARCHAEOLOGY.txt,341.5,HIGH:recovered_content,"внутри Recovered/Recovered_Releases — восстановительный/следственный материал, независимо от типа файла"
Recovered_Releases\RELEASE_CATALOG.json,11.5,HIGH:recovered_content,"внутри Recovered/Recovered_Releases — восстановительный/следственный материал, независимо от типа файла"
Recovered_Releases\RELEASE_CATALOG.tsv,6.4,HIGH:recovered_content,"внутри Recovered/Recovered_Releases — восстановительный/следственный материал, независимо от типа файла"
service_code_compatibility_payload\service_orders_core.py,43.9,HIGH:release_payload_dir,лежит в распакованной _payload папке — дубль уже заархивированного zip-бандла
service_code_compatibility_payload\service_preorders_core.py,43.2,HIGH:release_payload_dir,лежит в распакованной _payload папке — дубль уже заархивированного zip-бандла
tools\cashier_unpaid_preview_v2.py,9.7,REVIEW:versioned_duplicate,"есть версия с суффиксом (_v2), и рядом существует файл без суффикса: cashier_unpaid_preview.py"
tools\cashier_unpaid_preview_v3.py,22.8,REVIEW:versioned_duplicate,"есть версия с суффиксом (_v3), и рядом существует файл без суффикса: cashier_unpaid_preview.py"
tools\check_service_policy_v1.py,11.7,REVIEW:check_script,разовый диагностический скрипт CHECK_*
tools\db_inspector_v3.py,12.5,REVIEW:versioned_duplicate,"есть версия с суффиксом (_v3), и рядом существует файл без суффикса: db_inspector.py"
tools\dump_service_codes_live_sandbox.py,3.4,REVIEW:sandbox_name,в пути встречается 'sandbox'
tools\harvest_lost_features_from_sandboxes.py,17.7,REVIEW:sandbox_name,в пути встречается 'sandbox'
tools\project_passport_v2.py,19.6,REVIEW:versioned_duplicate,"есть версия с суффиксом (_v2), и рядом существует файл без суффикса: project_passport.py"
tools\promote_sandbox_to_training_db.py,6.1,REVIEW:sandbox_name,в пути встречается 'sandbox'
tools\sandbox_switch_admin_apartment.py,11.4,REVIEW:sandbox_name,в пути встречается 'sandbox'
tools\user_onboarding\ADMIN_UI_V2.md,0.3,REVIEW:versioned_duplicate,"есть версия с суффиксом (_v2), и рядом существует файл без суффикса: ADMIN_UI.md"
tools\user_onboarding\patch_parking_bot_admin_ui_v2.py,4.4,REVIEW:versioned_duplicate,"есть версия с суффиксом (_v2), и рядом существует файл без суффикса: patch_parking_bot_admin_ui.py"
service_code_compatibility_payload\Bots\handlers\service_orders_workspace.py,73.9,HIGH:release_payload_dir,лежит в распакованной _payload папке — дубль уже заархивированного zip-бандла
Recovered_Releases\2026-06-26__OSBB_Live_Service_UI_v1\install_service_orders_ui.py,12.8,HIGH:recovered_content,"внутри Recovered/Recovered_Releases — восстановительный/следственный материал, независимо от типа файла"
Recovered_Releases\2026-06-26__OSBB_Live_Service_UI_v1\patch_parking_bot_service_orders_ui_v1.py,11.2,HIGH:recovered_content,"внутри Recovered/Recovered_Releases — восстановительный/следственный материал, независимо от типа файла"
Recovered_Releases\2026-06-26__OSBB_Live_Service_UI_v1\run_bot_live_service_sandbox_v4.py,8.1,HIGH:recovered_content,"внутри Recovered/Recovered_Releases — восстановительный/следственный материал, независимо от типа файла"
Recovered_Releases\2026-06-26__OSBB_Live_Service_UI_v1\run_bot_live_service_sandbox_v4.py,8.1,REVIEW:sandbox_name,в пути встречается 'sandbox'
Recovered_Releases\2026-06-26__OSBB_Service_Orders_Foundation_v1\migrate_service_orders_and_fulfillment.py,29.5,HIGH:recovered_content,"внутри Recovered/Recovered_Releases — восстановительный/следственный материал, независимо от типа файла"
Recovered_Releases\2026-06-26__OSBB_Service_Orders_Foundation_v1\service_orders_core.py,33.0,HIGH:recovered_content,"внутри Recovered/Recovered_Releases — восстановительный/следственный материал, независимо от типа файла"
Recovered_Releases\2026-06-26__OSBB_Service_Orders_Foundation_v1\service_orders_preflight.py,17.1,HIGH:recovered_content,"внутри Recovered/Recovered_Releases — восстановительный/следственный материал, независимо от типа файла"
Recovered_Releases\2026-06-27__OSBB_cashier_route_fix\README_CASHIER_ROUTE_FIX.txt,1.6,HIGH:recovered_content,"внутри Recovered/Recovered_Releases — восстановительный/следственный материал, независимо от типа файла"
Recovered_Releases\2026-06-27__OSBB_cashier_route_fix\run_bot_live_services_sandbox_v1.py,24.3,HIGH:recovered_content,"внутри Recovered/Recovered_Releases — восстановительный/следственный материал, независимо от типа файла"
Recovered_Releases\2026-06-27__OSBB_cashier_route_fix\run_bot_live_services_sandbox_v1.py,24.3,REVIEW:sandbox_name,в пути встречается 'sandbox'
Recovered_Releases\2026-06-27__OSBB_cashier_route_repair_after_phone_v2\INSTALL_cashier_route_after_phone_v2.py,2.8,HIGH:recovered_content,"внутри Recovered/Recovered_Releases — восстановительный/следственный материал, независимо от типа файла"
Recovered_Releases\2026-06-27__OSBB_cashier_route_repair_after_phone_v2\README_CASHIER_ROUTE_REPAIR_AFTER_PHONE_V2.txt,1.7,HIGH:recovered_content,"внутри Recovered/Recovered_Releases — восстановительный/следственный материал, независимо от типа файла"
Recovered_Releases\2026-06-27__OSBB_cashier_route_repair_after_phone_v2\RUN_CHECK_cashier_route_after_phone_v2.bat,0.3,HIGH:recovered_content,"внутри Recovered/Recovered_Releases — восстановительный/следственный материал, независимо от типа файла"
Recovered_Releases\2026-06-27__OSBB_cashier_route_repair_after_phone_v2\RUN_INSTALL_cashier_route_after_phone_v2.bat,0.3,HIGH:recovered_content,"внутри Recovered/Recovered_Releases — восстановительный/следственный материал, независимо от типа файла"
Recovered_Releases\2026-06-27__OSBB_live_services_sandbox_bundle\CREATE_TEST_PAYMENT_FOR_OPEN_SERVICE_ORDER.bat,0.8,HIGH:recovered_content,"внутри Recovered/Recovered_Releases — восстановительный/следственный материал, независимо от типа файла"
Recovered_Releases\2026-06-27__OSBB_live_services_sandbox_bundle\CREATE_TEST_PAYMENT_FOR_OPEN_SERVICE_ORDER.bat,0.8,REVIEW:sandbox_name,в пути встречается 'sandbox'
Recovered_Releases\2026-06-27__OSBB_live_services_sandbox_bundle\CREATE_TEST_PAYMENT_FOR_OPEN_SERVICE_ORDER.py,5.7,HIGH:recovered_content,"внутри Recovered/Recovered_Releases — восстановительный/следственный материал, независимо от типа файла"
Recovered_Releases\2026-06-27__OSBB_live_services_sandbox_bundle\CREATE_TEST_PAYMENT_FOR_OPEN_SERVICE_ORDER.py,5.7,REVIEW:sandbox_name,в пути встречается 'sandbox'
Recovered_Releases\2026-06-27__OSBB_live_services_sandbox_bundle\patch_parking_bot_service_orders_v1.py,3.1,HIGH:recovered_content,"внутри Recovered/Recovered_Releases — восстановительный/следственный материал, независимо от типа файла"
Recovered_Releases\2026-06-27__OSBB_live_services_sandbox_bundle\patch_parking_bot_service_orders_v1.py,3.1,REVIEW:sandbox_name,в пути встречается 'sandbox'
Recovered_Releases\2026-06-27__OSBB_live_services_sandbox_bundle\README_LIVE_SERVICES_SANDBOX.txt,2.6,HIGH:recovered_content,"внутри Recovered/Recovered_Releases — восстановительный/следственный материал, независимо от типа файла"
Recovered_Releases\2026-06-27__OSBB_live_services_sandbox_bundle\README_LIVE_SERVICES_SANDBOX.txt,2.6,REVIEW:sandbox_name,в пути встречается 'sandbox'
Recovered_Releases\2026-06-27__OSBB_live_services_sandbox_bundle\run_bot_live_services_sandbox_v1.py,19.8,HIGH:recovered_content,"внутри Recovered/Recovered_Releases — восстановительный/следственный материал, независимо от типа файла"
Recovered_Releases\2026-06-27__OSBB_live_services_sandbox_bundle\run_bot_live_services_sandbox_v1.py,19.8,REVIEW:sandbox_name,в пути встречается 'sandbox'
Recovered_Releases\2026-06-27__OSBB_live_services_sandbox_bundle\Start_OSBB_Live_Services_Sandbox_Bot_v1.bat,1.0,HIGH:recovered_content,"внутри Recovered/Recovered_Releases — восстановительный/следственный материал, независимо от типа файла"
Recovered_Releases\2026-06-27__OSBB_live_services_sandbox_bundle\Start_OSBB_Live_Services_Sandbox_Bot_v1.bat,1.0,REVIEW:sandbox_name,в пути встречается 'sandbox'
Recovered_Releases\2026-06-27__OSBB_live_services_sandbox_bundle\STOP_old_guard_sandbox_bots.bat,0.7,HIGH:recovered_content,"внутри Recovered/Recovered_Releases — восстановительный/следственный материал, независимо от типа файла"
Recovered_Releases\2026-06-27__OSBB_live_services_sandbox_bundle\STOP_old_guard_sandbox_bots.bat,0.7,REVIEW:sandbox_name,в пути встречается 'sandbox'
Recovered_Releases\2026-06-27__OSBB_phone_access_ui_fix\INSTALL_PHONE_ACCESS_UI_FIX.bat,1.3,HIGH:recovered_content,"внутри Recovered/Recovered_Releases — восстановительный/следственный материал, независимо от типа файла"
Recovered_Releases\2026-06-27__OSBB_phone_access_ui_fix\README_PHONE_ACCESS_FIX.txt,3.1,HIGH:recovered_content,"внутри Recovered/Recovered_Releases — восстановительный/следственный материал, независимо от типа файла"
Recovered_Releases\2026-06-27__OSBB_phone_access_ui_fix_v2\INSTALL_PHONE_ACCESS_UI_FIX_v2.bat,0.4,HIGH:recovered_content,"внутри Recovered/Recovered_Releases — восстановительный/следственный материал, независимо от типа файла"
Recovered_Releases\2026-06-27__OSBB_phone_access_ui_fix_v2\INSTALL_PHONE_ACCESS_UI_FIX_v2.py,4.1,HIGH:recovered_content,"внутри Recovered/Recovered_Releases — восстановительный/следственный материал, независимо от типа файла"
Recovered_Releases\2026-06-27__OSBB_phone_access_ui_fix_v2\README_PHONE_ACCESS_FIX_v2.txt,1.6,HIGH:recovered_content,"внутри Recovered/Recovered_Releases — восстановительный/следственный материал, независимо от типа файла"
Recovered_Releases\2026-06-27__OSBB_phone_access_ui_fix_v3\INSTALL_PHONE_ACCESS_UI_FIX_v3.bat,0.3,HIGH:recovered_content,"внутри Recovered/Recovered_Releases — восстановительный/следственный материал, независимо от типа файла"
Recovered_Releases\2026-06-27__OSBB_phone_access_ui_fix_v3\INSTALL_PHONE_ACCESS_UI_FIX_v3.py,3.3,HIGH:recovered_content,"внутри Recovered/Recovered_Releases — восстановительный/следственный материал, независимо от типа файла"
