path,line,table,context
billing/report_parking_time_review_tasks.py,147,vehicles,all_vehicles = cur.fetchall()
billing/report_parking_time_review_tasks.py,149,vehicles,"lines.append(""Vehicles in DB:"")"
billing/report_parking_time_review_tasks.py,157,vehicles,) in all_vehicles:
billing/report_parking_time_with_hints.py,1,pathlib,from pathlib import Path
billing/report_parking_time_with_hints.py,5,datetime,from datetime import datetime
billing/report_parking_time_with_hints.py,6,collections,from collections import defaultdict
billing/report_parking_time_with_hints.py,8,openpyxl,from openpyxl import load_workbook
billing/report_parking_time_with_hints.py,18,config,from config import paths
billing/report_parking_time_with_hints.py,130,vehicles,def load_vehicles(cur):
billing/report_parking_time_with_hints.py,140,vehicles,FROM vehicles v
billing/report_parking_time_with_hints.py,141,apartments,JOIN apartments a ON a.id = v.apartment_id
billing/report_parking_time_with_hints.py,176,parking_time_review_tasks,FROM parking_time_review_tasks
billing/report_parking_time_with_hints.py,214,telegram_facts,FROM telegram_facts
billing/report_parking_time_with_hints.py,239,vehicles,"def recommend_for_apartment(vehicles, hint):"
billing/report_parking_time_with_hints.py,251,vehicles,"filled_day = [v for v in vehicles if v[""parking_time""] == ""Day""]"
billing/report_parking_time_with_hints.py,252,vehicles,"filled_night = [v for v in vehicles if v[""parking_time""] == ""Night""]"
billing/report_parking_time_with_hints.py,253,vehicles,"missing = [v for v in vehicles if not v[""parking_time""]]"
billing/report_parking_time_with_hints.py,267,vehicles,if total_need == len(vehicles) and len(missing) == len(vehicles):
billing/report_parking_time_with_hints.py,268,vehicles,if day_need == len(vehicles) and night_need == 0:
billing/report_parking_time_with_hints.py,271,vehicles,"""reason"": ""All vehicles missing; hint says all Day"","
billing/report_parking_time_with_hints.py,272,vehicles,"""actions"": [(v, ""Day"") for v in vehicles],"
billing/report_parking_time_with_hints.py,275,vehicles,if night_need == len(vehicles) and day_need == 0:
billing/report_parking_time_with_hints.py,278,vehicles,"""reason"": ""All vehicles missing; hint says all Night"","
billing/report_parking_time_with_hints.py,279,vehicles,"""actions"": [(v, ""Night"") for v in vehicles],"
billing/report_parking_time_with_hints.py,297,vehicles,if total_need != len(vehicles):
billing/report_parking_time_with_hints.py,301,vehicles,"f""Hint total={total_need}, DB vehicles={len(vehicles)}; """
billing/report_parking_time_with_hints.py,312,vehicles,"f""missing vehicles={len(missing)}; distribution requires operator"""
billing/report_parking_time_with_hints.py,340,vehicles,vehicles_by_apt = load_vehicles(cur)
billing/report_parking_time_with_hints.py,352,vehicles,"vehicles = vehicles_by_apt.get(apt, [])"
billing/report_parking_time_with_hints.py,357,vehicles,"rec = recommend_for_apartment(vehicles, hint)"
billing/report_parking_time_with_hints.py,364,vehicles,"""vehicles"": vehicles,"
billing/report_parking_time_with_hints.py,411,vehicles,"lines.append(""Vehicles:"")"
billing/report_parking_time_with_hints.py,412,vehicles,"for v in b[""vehicles""]:"
billing_reconciliation_report.py,1,pathlib,from pathlib import Path
billing_reconciliation_report.py,5,datetime,from datetime import datetime
billing_reconciliation_report.py,12,config,"from config import paths, USE_TEST_DB"
